Model,Strategy,precision [C1],recall [C1],F1 [C1]
RandomForest,none,0.8386243386243386,0.8005050505050505,0.8191214470284238
RandomForest,over,0.7547974413646056,0.8939393939393939,0.8184971098265896
XGBoost,over,0.7785388127853882,0.8611111111111112,0.8177458033573142
CustomEnsemble,over,0.7707865168539326,0.8661616161616161,0.8156956004756243
XGBoost,none,0.8232189973614775,0.7878787878787878,0.8051612903225807
CustomEnsemble,none,0.8383561643835616,0.7727272727272727,0.8042049934296978
KNN,over,0.7950617283950617,0.8131313131313131,0.8039950062421972
KNN,none,0.8402203856749312,0.7702020202020202,0.8036890645586298
RandomForest,under,0.716297786720322,0.898989898989899,0.7973124300111982
CustomEnsemble,under,0.720164609053498,0.8838383838383839,0.7936507936507936
XGBoost,under,0.7145790554414785,0.8787878787878788,0.7882219705549264
SVC,none,0.8081081081081081,0.7550505050505051,0.7806788511749347
SVC,under,0.7080745341614907,0.8636363636363636,0.7781569965870307
SVC,over,0.7247706422018348,0.797979797979798,0.7596153846153846
DecisionTree,over,0.7158836689038032,0.8080808080808081,0.7591933570581257
KNN,under,0.6844262295081968,0.8434343434343434,0.755656108597285
SVC_UMAP,over,0.6502732240437158,0.9015151515151515,0.7555555555555555
SVC_UMAP,under,0.6798336798336798,0.8257575757575758,0.7457240592930444
SVC_UMAP,none,0.7654986522911051,0.7171717171717171,0.7405475880052151
DecisionTree,none,0.75,0.7272727272727273,0.7384615384615385
MLP,over,0.612736660929432,0.898989898989899,0.7287615148413511
DecisionTree,under,0.6558704453441295,0.8181818181818182,0.7280898876404495
DeepConvModel,over,0.6341463414634146,0.8535353535353535,0.7276641550053822
MLP,under,0.6081771720613288,0.9015151515151515,0.7263479145473042
MLP,none,0.7185929648241206,0.7222222222222222,0.7204030226700252
AdaBoost,under,0.5906642728904847,0.8308080808080808,0.6904512067156349
AdaBoost,over,0.5566188197767146,0.8813131313131313,0.6823069403714564
AdaBoost,none,0.65311004784689,0.6893939393939394,0.6707616707616708
SVC_PCA,under,0.5746268656716418,0.7777777777777778,0.6609442060085837
SVC_PCA,none,0.6442307692307693,0.6767676767676768,0.6600985221674877
DeepConvModel,under,0.6573604060913706,0.6540404040404041,0.6556962025316456
DeepConvModel,none,0.7676056338028169,0.5505050505050505,0.6411764705882353
SVC_PCA,over,0.49310872894333846,0.8131313131313131,0.6139180171591992
NaiveBayes,none,0.5360623781676414,0.6944444444444444,0.605060506050605
NaiveBayes,under,0.46005917159763315,0.7853535353535354,0.5802238805970149
NaiveBayes,over,0.4483240223463687,0.8106060606060606,0.5773381294964028
